model,r2,rmse,mae
linear,0.29026736432592437,4.15125268467454,2.5936621257396957
changepoint,0.30872115336330497,4.0969287889429795,2.4943055886465997
nonlinear,0.3187371235563333,4.067140200762219,2.4510574823471796
